,start station name,end station name,tripduration,usertype,gender
100799,West Thames St,6 Ave & Broome St,871,Subscriber,1
421853,St Marks Pl & 1 Ave,Mott St & Prince St,921,Subscriber,1
73728,Mercer St & Bleecker St S,E 2 St & 2 Ave,535,Subscriber,1
498990,Washington Pl & Broadway,Harrison St & Hudson St,734,Subscriber,1
473211,Liberty St & Broadway,Fulton St & William St,132,Subscriber,1
22193,W 20 St & 11 Ave,,1037,Subscriber,1
549448,DeKalb Ave & Hudson Ave,W 52 St & 9 Ave,1235,Subscriber,1
341777,E 15 St & Irving Pl,E 31 St & 3 Ave,2213,Subscriber,1
40263,E 11 St & Broadway,Broadway & W 56 St,2220,Subscriber,1
136342,York St & Jay St,Carlton Ave & Flushing Ave,371,Subscriber,1
140376,Norfolk St & Broome St,Washington Pl & Broadway,1020,Subscriber,1
389472,Fulton St & William St,Maiden Ln & Pearl St,395,Subscriber,1
311537,Broadway & E 22 St,Broadway & E 14 St,1476,Subscriber,2
562926,Shevchenko Pl & E 7 St,Willoughby Ave & Walworth St,1380,Subscriber,1
406723,E 53 St & Lexington Ave,9 Ave & W 18 St,1435,Subscriber,1
283762,W 15 St & 7 Ave,W 20 St & 7 Ave,1637,Subscriber,1
384380,Bayard St & Baxter St,Leonard St & Church St,237,Subscriber,1
424734,E 32 St & Park Ave,Columbia St & Rivington St,250,Subscriber,1
221783,Bayard St & Baxter St,Broadway & W 24 St,1534,Subscriber,2
309168,Forsyth St & Broome St,Howard St & Centre St,344,Subscriber,1
495901,Pershing Square North,Vesey Pl & River Terrace,1307,Subscriber,1
395036,Broadway & W 32 St,Hudson St & Reade St,1057,Subscriber,1
535677,Barrow St & Hudson St,W 26 St & 8 Ave,568,Subscriber,1
143750,Rivington St & Chrystie St,W 38 St & 8 Ave,857,Subscriber,1
65143,Pershing Square North,W 14 St & The High Line,575,Subscriber,1
194681,West St & Chambers St,E 10 St & 5 Ave,1068,Subscriber,2
369558,2 Ave & E 31 St,Cliff St & Fulton St,3243,Subscriber,1
322362,West St & Chambers St,E 53 St & Madison Ave,1115,Subscriber,2
64907,Pike St & Monroe St,W 37 St & 10 Ave,2168,Subscriber,1
456617,Broadway & E 14 St,Allen St & Rivington St,731,Subscriber,1
158320,Front St & Washington St,Cadman Plaza W & Pierrepont St,475,Subscriber,2
5266,Cadman Plaza West & Montague St,St Marks Pl & 2 Ave,405,Subscriber,1
424847,Willoughby Ave & Hall St,Ashland Pl & Hanson Pl,441,Subscriber,1
433206,W 16 St & The High Line,11 Ave & W 41 St,748,Subscriber,1
161580,Norfolk St & Broome St,Market St & Cherry St,304,Subscriber,1
436331,Broadway & E 14 St,9 Ave & W 22 St,907,Subscriber,1
532965,W 26 St & 8 Ave,W 47 St & 10 Ave,840,Subscriber,1
240507,W 52 St & 9 Ave,W 52 St & 5 Ave,423,Subscriber,1
121386,W 52 St & 9 Ave,Broadway & W 58 St,280,Subscriber,1
92904,West Thames St,Barrow St & Hudson St,1233,Subscriber,2
552224,1 Ave & E 16 St,E 16 St & 5 Ave,432,Subscriber,1
460365,Broadway & E 22 St,W Broadway & Spring St,518,Subscriber,1
531005,Cadman Plaza West & Montague St,Willoughby St & Fleet St,487,Subscriber,1
489234,E 15 St & Irving Pl,E 58 St & 3 Ave,869,Subscriber,1
392295,1 Ave & E 16 St,2 Ave & E 58 St,1196,Subscriber,2
430514,Liberty St & Broadway,W 47 St & 10 Ave,1635,Subscriber,1
223121,9 Ave & W 22 St,Fulton St & Rockwell Pl,618,Subscriber,1
287847,Lafayette Ave & St James Pl,Lafayette Ave & Classon Ave,1118,Subscriber,2
38908,Washington Pl & Broadway,Clinton St & Joralemon St,2036,Subscriber,1
169133,6 Ave & W 33 St,W 49 St & 8 Ave,661,Subscriber,1
252170,St Marks Pl & 2 Ave,St James Pl & Pearl St,982,Subscriber,1
237106,Division St & Bowery,,195,Subscriber,2
551804,Hicks St & Montague St,,1667,Subscriber,2
469617,E 58 St & 3 Ave,E 51 St & 1 Ave,335,Subscriber,1
169908,Liberty St & Broadway,Cleveland Pl & Spring St,715,Subscriber,1
380834,Pearl St & Hanover Square,Washington Pl & 6 Ave,2074,Subscriber,1
102309,E 12 St & 3 Ave,Barrow St & Hudson St,1440,Subscriber,1
13017,Warren St & Church St,Old Slip & Front St,935,Subscriber,1
539751,W 4 St & 7 Ave S,W 44 St & 5 Ave,1182,Subscriber,1
238419,W 24 St & 7 Ave,W 22 St & 8 Ave,629,Subscriber,1
576261,9 Ave & W 18 St,W 49 St & 8 Ave,433,Subscriber,1
338681,Bond St & Schermerhorn St,State St & Smith St,158,Subscriber,1
270223,Broadway & W 36 St,E 23 St & 1 Ave,908,Subscriber,2
326595,8 Ave & W 31 St N,Rivington St & Chrystie St,1470,Subscriber,1
167992,E 17 St & Broadway,W 46 St & 11 Ave,1864,Subscriber,2
330973,E 31 St & 3 Ave,Broadway & W 58 St,1656,Subscriber,2
502087,Greenwich St & Warren St,Centre St & Chambers St,225,Subscriber,1
444462,9 Ave & W 14 St,W 37 St & 5 Ave,1390,Subscriber,1
259142,9 Ave & W 16 St,W 54 St & 9 Ave,1366,Subscriber,1
