,start station name,end station name,tripduration,usertype,gender
322588,Broadway & E 22 St,Forsyth St & Broome St,1369,Subscriber,2
74930,Maiden Ln & Pearl St,E 20 St & 2 Ave,238,Subscriber,1
143788,Broadway & E 22 St,W 13 St & 7 Ave,415,Subscriber,1
384115,W 15 St & 7 Ave,W 14 St & The High Line,747,Subscriber,1
151262,Washington Ave & Park Ave,Willoughby St & Fleet St,461,Subscriber,1
539780,Broadway & Battery Pl,Broadway & Battery Pl,89,Subscriber,2
199967,8 Ave & W 52 St,Harrison St & Hudson St,535,Subscriber,1
553543,W 17 St & 8 Ave,E 27 St & 1 Ave,633,Subscriber,1
197000,1 Ave & E 18 St,E 53 St & Lexington Ave,158,Subscriber,1
445171,MacDougal St & Washington Sq,MacDougal St & Washington Sq,239,Subscriber,2
324224,2 Ave & E 31 St,E 11 St & 2 Ave,385,Subscriber,1
431675,E 19 St & 3 Ave,W 17 St & 8 Ave,302,Subscriber,1
303986,E 11 St & Broadway,W 11 St & 6 Ave,169,Subscriber,1
535514,Greenwich St & Warren St,Leonard St & Church St,289,Subscriber,1
576526,Old Fulton St,,531,Subscriber,2
477934,Lexington Ave & E 29 St,8 Ave & W 33 St,908,Subscriber,1
34801,E 39 St & 2 Ave,Broadway & W 37 St,706,Subscriber,1
561068,E 30 St & Park Ave S,Pershing Square South,645,Subscriber,2
467396,Columbia Heights & Cranberry St,Rivington St & Chrystie St,1046,Subscriber,1
271080,E 16 St & 5 Ave,Great Jones St,836,Subscriber,1
241441,E 9 St & Avenue C,E 43 St & Vanderbilt Ave,1581,Subscriber,2
527836,Johnson St & Gold St,Little West St & 1 Pl,417,Subscriber,2
350195,Barrow St & Hudson St,Barrow St & Hudson St,2711,Subscriber,1
72533,St Marks Pl & 2 Ave,E 9 St & Avenue C,284,Subscriber,2
385520,Broadway & E 14 St,Rivington St & Ridge St,974,Subscriber,2
485113,Macon St & Nostrand Ave,Broadway & W 58 St,513,Subscriber,1
292065,Broadway & W 24 St,W 39 St & 9 Ave,814,Subscriber,2
159572,Broadway & W 58 St,Clark St & Henry St,701,Subscriber,1
196088,E 25 St & 2 Ave,W 56 St & 6 Ave,380,Subscriber,1
377277,W 20 St & 8 Ave,Broadway & Battery Pl,1412,Subscriber,2
206297,W 49 St & 8 Ave,9 Ave & W 14 St,1128,Subscriber,1
417846,W 42 St & 8 Ave,2 Ave & E 58 St,1727,Subscriber,1
43346,W 37 St & 10 Ave,Greenwich St & Warren St,1352,Subscriber,1
375871,Suffolk St & Stanton St,E 14 St & Avenue B,430,Subscriber,1
328673,W 49 St & 8 Ave,Centre St & Chambers St,1845,Subscriber,2
459157,Madison St & Clinton St,Reade St & Broadway,710,Subscriber,1
71206,Sullivan St & Washington Sq,Allen St & Hester St,721,Subscriber,1
43671,9 Ave & W 22 St,Carmine St & 6 Ave,1118,Subscriber,2
576118,W 39 St & 9 Ave,W 37 St & 10 Ave,2293,Subscriber,1
36942,Broadway & Battery Pl,E 27 St & 1 Ave,2201,Subscriber,1
47485,W 22 St & 8 Ave,Broadway & E 14 St,1206,Subscriber,1
233531,E 15 St & Irving Pl,2 Ave & E 58 St,1119,Subscriber,1
365041,W 22 St & 10 Ave,Washington St & Gansevoort St,328,Subscriber,1
528248,2 Ave & E 31 St,E 33 St & 5 Ave,1059,Subscriber,1
403025,Howard St & Centre St,Howard St & Centre St,617,Subscriber,1
357654,E 47 St & 2 Ave,Broadway & E 14 St,1006,Subscriber,2
257393,Bayard St & Baxter St,Pearl St & Hanover Square,551,Subscriber,1
462436,Duane St & Greenwich St,W 24 St & 7 Ave,1345,Subscriber,1
274695,Carmine St & 6 Ave,W 38 St & 8 Ave,493,Subscriber,2
138891,W 26 St & 8 Ave,W 20 St & 8 Ave,309,Subscriber,1
486795,1 Ave & E 30 St,W 20 St & 11 Ave,625,Subscriber,1
70184,Pearl St & Hanover Square,Franklin St & W Broadway,1335,Subscriber,1
398676,Forsyth St & Broome St,Broadway & E 22 St,202,Subscriber,1
33726,W 33 St & 7 Ave,Broadway & E 14 St,832,Subscriber,1
464311,W 38 St & 8 Ave,W 20 St & 11 Ave,265,Subscriber,1
490295,E 39 St & 2 Ave,E 23 St & 1 Ave,453,Subscriber,1
432699,Liberty St & Broadway,Broad St & Bridge St,251,Subscriber,1
185988,E 43 St & Vanderbilt Ave,E 33 St & 5 Ave,455,Subscriber,1
332061,W 11 St & 6 Ave,Stanton St & Chrystie St,862,Subscriber,1
39917,W 13 St & 7 Ave,E 51 St & Lexington Ave,1100,Subscriber,1
135277,MacDougal St & Prince St,6 Ave & Broome St,387,Subscriber,1
133601,E 4 St & 2 Ave,Lexington Ave & E 24 St,517,Subscriber,1
258307,E 16 St & 5 Ave,11 Ave & W 59 St,1359,Subscriber,2
362536,3969.TEMP (Bike The Branches - Central Branch),E 9 St & Avenue C,258,Subscriber,2
275020,E 7 St & Avenue A,Rivington St & Chrystie St,1108,Subscriber,1
294005,Lexington Ave & E 29 St,1 Ave & E 16 St,1272,Subscriber,1
484340,St Marks Pl & 1 Ave,E 24 St & Park Ave S,307,Subscriber,1
256516,Carmine St & 6 Ave,W 21 St & 6 Ave,570,Subscriber,1
480257,Fulton St & Broadway,W 20 St & 7 Ave,270,Subscriber,2
406275,Clinton Ave & Myrtle Ave,Lawrence St & Willoughby St,494,Subscriber,2
399593,Liberty St & Broadway,Water - Whitehall Plaza,409,Subscriber,2
518360,Cadman Plaza W & Pierrepont St,Washington Park,554,Subscriber,1
85608,Broadway & W 58 St,Broadway & W 32 St,1908,Subscriber,2
178101,W 22 St & 10 Ave,W 20 St & 7 Ave,423,Subscriber,1
235681,E 17 St & Broadway,Washington Square E,309,Subscriber,1
423980,E 39 St & 2 Ave,Suffolk St & Stanton St,1505,Subscriber,1
237212,W 33 St & 7 Ave,W 31 St & 7 Ave,383,Subscriber,1
33678,W 13 St & 5 Ave,West St & Chambers St,903,Subscriber,1
488802,Duane St & Greenwich St,E 10 St & 5 Ave,1061,Subscriber,1
251233,Greenwich St & W Houston St,NYCBS Depot - SSP,273,Subscriber,1
422812,E 31 St & 3 Ave,E 39 St & 2 Ave,557,Subscriber,2
488181,W 20 St & 11 Ave,E 23 St & 1 Ave,791,Subscriber,1
296430,Greenwich St & Warren St,Greenwich St & Warren St,1940,Subscriber,1
566533,E 25 St & 2 Ave,E 11 St & 2 Ave,371,Subscriber,1
558127,W 43 St & 10 Ave,W 20 St & 11 Ave,1327,Subscriber,2
173412,E 20 St & 2 Ave,Carmine St & 6 Ave,861,Subscriber,1
573985,E 15 St & Irving Pl,Vesey Pl & River Terrace,1889,Subscriber,1
